private_entity,label,external_uri,confidence,source
http://semanticweb.esilv.fr/aikg/SageMaker,SageMaker,http://www.wikidata.org/entity/Q107382252,1.0,api
http://semanticweb.esilv.fr/aikg/Sanchit,Sanchit,http://www.wikidata.org/entity/Q16281184,0.933,api
http://semanticweb.esilv.fr/aikg/Sentence_Transformers,Sentence-Transformers,http://www.wikidata.org/entity/Q120634773,0.952,api
http://semanticweb.esilv.fr/aikg/ServiceNow,ServiceNow,http://www.wikidata.org/entity/Q7455653,1.0,api
http://semanticweb.esilv.fr/aikg/Simon,Simon,http://www.wikidata.org/entity/Q4117588,1.0,api
http://semanticweb.esilv.fr/aikg/Sokolov,Sokolov,http://www.wikidata.org/entity/Q727383,1.0,api
http://semanticweb.esilv.fr/aikg/Spain,Spain,http://www.wikidata.org/entity/Q29,1.0,api
http://semanticweb.esilv.fr/aikg/Sparrow,Sparrow,http://www.wikidata.org/entity/Q109828878,1.0,api
http://semanticweb.esilv.fr/aikg/Spectre,Spectre,http://www.wikidata.org/entity/Q18602670,1.0,api
http://semanticweb.esilv.fr/aikg/SqueezeNet,SqueezeNet,http://www.wikidata.org/entity/Q55080279,1.0,api
http://semanticweb.esilv.fr/aikg/StarCoder,StarCoder,NEW,0.383,low_confidence
http://semanticweb.esilv.fr/aikg/StarCoderBase,StarCoderBase,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/StarPii,StarPii,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Stas_Bekman,Stas Bekman,http://www.wikidata.org/entity/Q131129547,1.0,api
http://semanticweb.esilv.fr/aikg/Stiennon,Stiennon,http://www.wikidata.org/entity/Q115565433,1.0,api
http://semanticweb.esilv.fr/aikg/Stone,Stone,http://www.wikidata.org/entity/Q22731,1.0,api
http://semanticweb.esilv.fr/aikg/Suhr,Suhr,http://www.wikidata.org/entity/Q27672163,1.0,api
http://semanticweb.esilv.fr/aikg/Swift,Swift,http://www.wikidata.org/entity/Q18331735,1.0,api
http://semanticweb.esilv.fr/aikg/T4,T4,SKIP,0.0,skipped
http://semanticweb.esilv.fr/aikg/TII,TII,http://www.wikidata.org/entity/Q2433022,0.857,api
http://semanticweb.esilv.fr/aikg/TPU,TPU,NEW,0.39,low_confidence
http://semanticweb.esilv.fr/aikg/TPUs,TPUs,http://www.wikidata.org/entity/Q96655139,1.0,api
http://semanticweb.esilv.fr/aikg/TRL,TRL,NEW,0.4,low_confidence
http://semanticweb.esilv.fr/aikg/TRLX,TRLX,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/TechCompany,Tech Company,http://www.wikidata.org/entity/Q18388277,0.95,api
http://semanticweb.esilv.fr/aikg/Technique,Technique,http://www.wikidata.org/entity/Q2695280,1.0,api
http://semanticweb.esilv.fr/aikg/TensorFlow,TensorFlow,http://www.wikidata.org/entity/Q21447895,1.0,api
http://semanticweb.esilv.fr/aikg/Tensor_Processing_Units,Tensor Processing Units,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Tensorflow,Tensorflow,http://www.wikidata.org/entity/Q21447895,1.0,api
http://semanticweb.esilv.fr/aikg/Text_Generation_Inference,Text Generation Inference,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/TheBloke,TheBloke,NEW,0.0,not_found
